organization_name,organization_type,ticker_symbol,city,state,fortune_rank,industry_sector,estimated_min_sponsorship,estimated_max_sponsorship,estimated_typical_sponsorship,sponsorship_likelihood_score,arts_education_potential,email,website,mission,data_source,created_at,geographic_priority
Summit Cloud Corporation,corporation,SUCL,Athens,GA,1,Technology,15000,1500000,300000,96,High,giving@summitcloud.com,https://www.summitcloud.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.673945,Medium
United Solutions Enterprises,corporation,UNSO,Fayetteville,AR,2,Technology,14985,1498500,299400,92,High,giving@unitedsolutions.com,https://www.unitedsolutions.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674031,Medium
Prime Software Inc.,corporation,PRSO,South Burlington,VT,3,Technology,14970,1497000,298801,90,High,impact@primesoftware.com,https://www.primesoftware.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674059,Medium
American Systems Enterprises,corporation,AMER,Missoula,MT,4,Technology,14955,1495500,298202,96,High,partnerships@american.com,https://www.american.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674077,Medium
First Data Holdings,corporation,FIDA,Reno,NV,5,Technology,14940,1494000,297604,93,High,giving@firstdata.com,https://www.firstdata.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674090,Medium
Summit Solutions Systems,corporation,SUSO,Fishers,IN,6,Technology,14925,1492500,297007,98,High,partnerships@summitsolutions.com,https://www.summitsolutions.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674102,Medium
Summit Tech Holdings,corporation,SUTE,Waterloo,IA,7,Technology,14910,1491000,296410,97,High,impact@summittech.com,https://www.summittech.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674112,Medium
United Solutions Systems,corporation,UNSO,Alexandria,VA,8,Technology,14895,1489500,295814,96,High,community@unitedsolutions.com,https://www.unitedsolutions.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674121,Medium
American Data Corporation,corporation,AMDA,Hoover,AL,9,Technology,14880,1488000,295219,94,High,impact@americandata.com,https://www.americandata.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674135,Medium
American Data Enterprises,corporation,AMDA,Arvada,CO,10,Technology,14865,1486500,294624,94,High,community@americandata.com,https://www.americandata.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674144,High
Prime Cyber Group,corporation,PRCY,Syracuse,NY,11,Technology,14850,1485000,294030,96,High,giving@primecyber.com,https://www.primecyber.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674154,High
National Software Group,corporation,NASO,Kailua,HI,12,Technology,14835,1483500,293436,96,High,giving@nationalsoftwar.com,https://www.nationalsoftwar.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674166,Medium
Prime Data Enterprises,corporation,PRDA,Pittsburgh,PA,13,Technology,14820,1482000,292843,94,High,impact@primedata.com,https://www.primedata.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674175,Medium
United Cloud Holdings,corporation,UNCL,Lewiston,ME,14,Technology,14805,1480500,292250,96,High,community@unitedcloud.com,https://www.unitedcloud.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674185,Medium
Summit Tech Enterprises,corporation,SUTE,Kailua,HI,15,Technology,14790,1479000,291658,95,High,giving@summittech.com,https://www.summittech.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674196,Medium
National Software Holdings,corporation,NASO,Biloxi,MS,16,Technology,14775,1477500,291067,96,High,impact@nationalsoftwar.com,https://www.nationalsoftwar.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674207,Medium
American Digital Group,corporation,AMDI,St. Albans,VT,17,Technology,14760,1476000,290476,97,High,impact@americandigital.com,https://www.americandigital.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674218,Medium
American Cloud Corporation,corporation,AMCL,Derry,NH,18,Technology,14745,1474500,289886,90,High,social@americancloud.com,https://www.americancloud.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674228,Medium
Global Systems Holdings,corporation,GLOB,Mandan,ND,19,Technology,14730,1473000,289297,97,High,impact@global.com,https://www.global.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674244,Medium
International Data Systems,corporation,INDA,North Little Rock,AR,20,Technology,14715,1471500,288708,88,High,community@internationalda.com,https://www.internationalda.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674257,Medium
International Cyber Corporation,corporation,INCY,Sterling Heights,MI,21,Technology,14700,1470000,288120,98,High,partnerships@internationalcy.com,https://www.internationalcy.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674267,Medium
Summit Systems LLC,corporation,SUMM,Lake Charles,LA,22,Technology,14685,1468500,287532,94,High,community@summit.com,https://www.summit.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674276,Medium
American Solutions Enterprises,corporation,AMSO,Rutland,VT,23,Technology,14670,1467000,286945,95,High,impact@americansolutio.com,https://www.americansolutio.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674287,Medium
National Software Enterprises,corporation,NASO,Aberdeen,SD,24,Technology,14655,1465500,286358,95,High,partnerships@nationalsoftwar.com,https://www.nationalsoftwar.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674296,Medium
International Tech Holdings,corporation,INTE,Kodiak,AK,25,Technology,14640,1464000,285772,89,High,social@internationalte.com,https://www.internationalte.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674306,Medium
Global Systems Inc.,corporation,GLOB,Rochester,NY,26,Technology,14625,1462500,285187,87,High,community@global.com,https://www.global.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674315,High
International Solutions Enterprises,corporation,INSO,Alexandria,VA,27,Technology,14610,1461000,284602,97,High,impact@internationalso.com,https://www.internationalso.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674326,Medium
Global Digital Systems,corporation,GLDI,Quincy,MA,28,Technology,14595,1459500,284018,97,High,giving@globaldigital.com,https://www.globaldigital.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674336,High
United Solutions Company,corporation,UNSO,Montgomery,AL,29,Technology,14580,1458000,283435,87,High,community@unitedsolutions.com,https://www.unitedsolutions.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674347,Medium
Global Cyber Enterprises,corporation,GLCY,Parma,OH,30,Technology,14565,1456500,282852,96,High,social@globalcyber.com,https://www.globalcyber.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674356,Medium
Prime Solutions Company,corporation,PRSO,Monroe,LA,31,Technology,14550,1455000,282270,87,High,social@primesolutions.com,https://www.primesolutions.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674367,Medium
Global Cyber Group,corporation,GLCY,Lawrence,KS,32,Technology,14535,1453500,281688,87,High,partnerships@globalcyber.com,https://www.globalcyber.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674377,Medium
Summit Cloud Systems,corporation,SUCL,Salem,OR,33,Technology,14520,1452000,281107,89,High,impact@summitcloud.com,https://www.summitcloud.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674386,Medium
Global Cyber Holdings,corporation,GLCY,Kenai,AK,34,Technology,14505,1450500,280526,92,High,partnerships@globalcyber.com,https://www.globalcyber.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674395,Medium
First Data Inc.,corporation,FIDA,Grand Rapids,MI,35,Technology,14490,1449000,279946,88,High,community@firstdata.com,https://www.firstdata.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674404,Medium
Prime Digital Systems,corporation,PRDI,Morgantown,WV,36,Technology,14475,1447500,279367,89,High,impact@primedigital.com,https://www.primedigital.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674414,Medium
International Cloud Inc.,corporation,INCL,Newport,RI,37,Technology,14460,1446000,278788,89,High,partnerships@internationalcl.com,https://www.internationalcl.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674424,Medium
National Software Corporation,corporation,NASO,Indianapolis,IN,38,Technology,14445,1444500,278210,92,High,social@nationalsoftwar.com,https://www.nationalsoftwar.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674434,Medium
