organization_name,email,mission,location,website,organization_type,ticker_symbol,city,state,fortune_rank,industry_sector,annual_revenue,employees,estimated_min_sponsorship,estimated_max_sponsorship,estimated_typical_sponsorship,donation_range,sponsorship_focus,csr_programs,arts_sponsorship_history,arts_education_potential,sponsorship_likelihood_score,contact_department,linkedin,foundation_arm,data_source,created_at,geographic_priority,last_updated
Apple Inc.,corporate@apple.com,"To bring the best user experience to customers through innovative hardware, software and services that enable people to do amazing things","Cupertino, CA",https://www.apple.com,corporation,AAPL,Cupertino,CA,4,Technology,394.3B,164000,61760,926400,308800,$50K-$500K,"Education, Accessibility, Environmental Sustainability, STEM Programs","Everyone Can Code, ConnectED, Racial Equity and Justice Initiative",High - Supports arts education and accessibility programs,High,100,Corporate Communications,https://www.linkedin.com/company/apple,Apple Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Alphabet Inc.,press@google.com,To organize the world's information and make it universally accessible and useful while advancing computing and technology,"Mountain View, CA",https://abc.xyz,corporation,GOOGL,Mountain View,CA,11,Technology,307.4B,190234,61340,920100,306700,$25K-$300K,"Education, Digital Literacy, AI for Good, Diversity & Inclusion","Google.org, Code with Google, Grow with Google","High - Google Arts & Culture platform, supports creative arts programs",High,100,Corporate Development,https://www.linkedin.com/company/google,Google.org,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Meta Platforms Inc.,press@meta.com,To give people the power to build community and bring the world closer together through innovative social technology,"Menlo Park, CA",https://about.meta.com,corporation,META,Menlo Park,CA,15,Technology,134.9B,86482,46325,694875,231625,$15K-$200K,"Digital Literacy, Youth Development, Community Building, Mental Health","Meta Community Action Grants, Digital Citizenship, Creator Economy Support",Medium - Supports creator programs and digital arts initiatives,Medium,95,Public Policy,https://www.linkedin.com/company/meta,Chan Zuckerberg Initiative,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Tesla Inc.,press@tesla.com,To accelerate the world's transition to sustainable energy and transportation,"Austin, CA",https://www.tesla.com,corporation,TSLA,Austin,CA,25,Automotive/Technology,96.8B,140473,27350,410250,136750,$10K-$150K,"STEM Education, Environmental Sustainability, Innovation, Clean Energy","Tesla Education, Sustainable Energy Projects, STEM Scholarships",Low - Focuses primarily on STEM and sustainability,Low,75,Corporate Communications,https://www.linkedin.com/company/tesla-motors,Musk Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
JPMorgan Chase & Co.,corporate.communications@jpmchase.com,"To be the most respected financial services firm in the world, serving corporations and individuals globally","New York, NY",https://www.jpmorganchase.com,corporation,JPM,New York,NY,12,Financial Services,158.1B,298474,90920,1363800,454600,$50K-$1M,"Financial Literacy, Small Business Support, Community Development, Arts","JPMorgan Chase Foundation, AdvancingCities, PolicyCenter","Very High - Major arts patron, supports museums and cultural institutions",Very High,100,Corporate Responsibility,https://www.linkedin.com/company/jpmorganchase,JPMorgan Chase Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Citigroup Inc.,corporate.communications@citi.com,To serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress,"New York, NY",https://www.citigroup.com,corporation,C,New York,NY,24,Financial Services,75.3B,238104,72272,1084080,361360,$25K-$500K,"Financial Inclusion, Youth Employment, Entrepreneurship, Arts & Culture","Citi Foundation, Citi Impact Fund, Pathways to Progress",High - Supports arts education and cultural diversity programs,High,100,Global Public Affairs,https://www.linkedin.com/company/citi,Citi Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Goldman Sachs Group Inc.,gs-media-relations@gs.com,To advance sustainable economic growth and financial opportunity around the world,"New York, NY",https://www.goldmansachs.com,corporation,GS,New York,NY,55,Financial Services,44.6B,48500,62691,940374,313458,$30K-$400K,"Economic Mobility, Small Business, Financial Education, Community Development","Goldman Sachs Foundation, 10000 Small Businesses, Launch With GS",High - Partners with major arts institutions and supports cultural programs,High,100,Corporate Communications,https://www.linkedin.com/company/goldman-sachs,Goldman Sachs Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Morgan Stanley,mediarelations@morganstanley.com,"To do great work that matters for our clients, shareholders, communities and each other","New York, NY",https://www.morganstanley.com,corporation,MS,New York,NY,61,Financial Services,53.7B,82427,69608,1044120,348040,$20K-$350K,"Education, Healthcare, Human Services, Arts & Culture","Morgan Stanley Foundation, GEAR UP, Alliance for Children",High - Long history of supporting arts institutions and cultural events,High,100,Global Communications,https://www.linkedin.com/company/morgan-stanley,Morgan Stanley Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Intel Corporation,intel.media@intel.com,To create world-changing technologies that enrich the lives of every person on earth,"Santa Clara, CA",https://www.intel.com,corporation,INTC,Santa Clara,CA,45,Technology,79.0B,124800,44975,674625,224875,$15K-$200K,"STEM Education, Digital Inclusion, Workforce Development, Innovation","Intel Foundation, SheWillConnect, AI for Good",Medium - Supports STEAM programs combining arts with technology,Medium,95,Corporate Communications,https://www.linkedin.com/company/intel-corporation,Intel Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
Cisco Systems Inc.,press@cisco.com,To power an inclusive future for all through technology innovation and digital transformation,"San Jose, CA",https://www.cisco.com,corporation,CSCO,San Jose,CA,65,Technology,57.8B,83300,44075,661125,220375,$10K-$150K,"Digital Skills, Cybersecurity Education, Inclusive Technology, Workforce Development","Cisco Foundation, Networking Academy, Country Digital Acceleration",Medium - Supports digital arts and technology integration programs,Medium,90,Corporate Affairs,https://www.linkedin.com/company/cisco,Cisco Foundation,Enhanced Fortune 1000 Analysis,2025-10-26T20:15:07.123981,High,2025-10-26T20:15:07.123981
