organization_name,email,mission,location,website,program_name,program_category,program_description,target_audience,schedule,estimated_annual_cost,sessions_per_year,cost_per_session,participants_capacity,instructor_requirements,equipment_needed,space_requirements,sponsorship_appeal,corporate_sponsor_fit,foundation_fit,age_groups,accessibility_features,measurable_outcomes,success_metrics,program_director,contact_phone,program_email,data_source,created_at,last_updated,status,funding_needed,priority_level,sponsor_match_potential
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Adaptive Dance Movement Therapy,Dance,"Therapeutic dance program designed for individuals with disabilities, focusing on movement as healing and self-expression","People with Disabilities, Adults",Weekly,12000,48,175,15,Certified Dance Movement Therapist,"Sound system, adaptive equipment, safety mats",Accessible studio space with mirrors,High - therapeutic benefits for disability community,"Healthcare, Wellness, Technology companies","Disability support, Arts therapy, Healthcare foundations",Adults 18+,"Full wheelchair accessibility, adaptive equipment, sensory accommodations","Improved mobility, emotional wellbeing, social connection","Participant retention 85%, Wellness improvement scores, Family feedback","Sarah Martinez, ADTR",(555) 123-4567,dance@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,12000,Medium,Good
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Inclusive Music Therapy Sessions,Music,"Music therapy program for diverse abilities, using instruments and voice to promote healing and social connection","People with Disabilities, Children/Youth, Adults",Weekly,15000,50,200,12,Licensed Music Therapist,"Adaptive instruments, sound equipment, recording tools",Soundproof room with piano,"Very High - proven therapeutic benefits, all ages","Music industry, Healthcare, Technology, Financial services","Music foundations, Disability support, Child development",All ages 6+,"Adaptive instruments, visual aids, communication devices","Communication improvement, emotional regulation, social skills","Therapy goals achievement 90%, Parent satisfaction, Clinical assessments","Dr. Michael Chen, MT-BC",(555) 123-4568,music@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,15000,Medium,Excellent
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Art Therapy for Trauma Recovery,Visual Arts,Visual arts therapy program helping individuals process trauma through creative expression and guided art-making,"Adults, Veterans, People with Disabilities",Weekly,10000,45,150,10,Licensed Art Therapist,"Art supplies, easels, specialized tools",Well-lit studio with storage,Very High - serves veterans and trauma survivors,"Healthcare, Financial services, Defense contractors, Technology","Veterans support, Mental health, Arts therapy foundations","Adults 18+, Veterans all ages","Adaptive art tools, trauma-informed environment","PTSD symptom reduction, emotional processing, resilience building","Clinical improvement scales, Veteran engagement rates, Long-term follow-up","Jennifer Lopez, ATR-BC",(555) 123-4569,arttherapy@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,10000,Standard,Excellent
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Inclusive Theater Workshop,Theater,Collaborative theater program bringing together people of all abilities to create and perform original works,"People with Disabilities, Children/Youth, Adults",Weekly,8000,40,125,20,Theater director with inclusive experience,"Costumes, props, lighting, sound system",Theater or large performance space,"High - community integration, public performances","Entertainment, Media, Technology, Financial services","Arts education, Disability inclusion, Community development",Youth 12+ and Adults,"Modified scripts, assistive technology, inclusive staging","Self-confidence building, social integration, performance skills","Performance participation rates, Audience feedback, Participant growth","Robert Kim, MFA",(555) 123-4570,theater@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,8000,Standard,Good
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Mindfulness and Meditation Arts,Wellness/Mindfulness,Meditation and mindfulness program integrated with creative arts for stress reduction and mental wellness,"Adults, People with Disabilities, Caregivers",Bi-weekly,6000,26,125,18,Certified meditation instructor with arts background,"Meditation cushions, art supplies, sound system","Quiet, calming space with natural light","High - mental wellness focus, caregiver support","Healthcare, Wellness companies, Technology, Financial services","Mental health, Wellness, Caregiver support foundations","Adults 18+, Caregivers","Multiple seating options, sensory accommodations","Stress reduction, mindfulness skills, emotional regulation","Stress scale improvements, Regular practice adoption, Caregiver wellbeing","Dr. Lisa Patel, PhD",(555) 123-4571,mindfulness@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,6000,Standard,Good
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Family Healing Through Arts,Family Programs,Family-centered arts program designed to strengthen bonds and facilitate healing through creative collaboration,"Families, Children/Youth, People with Disabilities",Monthly,9000,12,450,30,Family therapist with arts therapy certification,"Family-friendly art supplies, large workspace materials","Large, flexible space for family groups","Very High - family impact, multigenerational benefits","Family-focused companies, Healthcare, Financial services, Retail","Family foundations, Child welfare, Community development","All family members, Children 5+","Multi-generational design, various ability levels","Family communication improvement, relationship strengthening","Family assessment scores, Continued participation, Goal achievement","Maria Gonzalez, LMFT",(555) 123-4572,family@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,9000,Standard,Excellent
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Creative Writing and Storytelling,Literary Arts,"Writing program for diverse abilities focusing on personal narrative, storytelling, and creative expression","Adults, Children/Youth, People with Disabilities",Weekly,7000,35,125,15,Published writer with special education experience,"Adaptive writing tools, computers, recording equipment",Comfortable classroom with technology access,"High - literacy focus, personal empowerment","Publishing, Technology, Media companies, Financial services","Literacy foundations, Arts education, Disability support",Youth 12+ and Adults,"Assistive writing technology, multiple communication methods","Writing skill development, self-advocacy, storytelling confidence","Portfolio completion, Public reading participation, Skill assessments","David Chen, MFA",(555) 123-4573,writing@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,7000,Standard,Good
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Sensory Integration Arts Program,Therapeutic Arts,Multi-sensory arts program designed for individuals with autism and sensory processing differences,"Children/Youth, People with Disabilities (Autism)",Twice weekly,18000,80,150,8,Occupational therapist with arts training,"Sensory materials, adaptive art tools, specialized equipment",Sensory-friendly environment with variable lighting,"Very High - specialized autism support, high demand","Healthcare, Technology, Autism-focused companies, Financial services","Autism foundations, Special needs support, Therapeutic programs","Children 3-18, Young adults","Full sensory accommodations, individualized supports","Sensory regulation improvement, social engagement, skill development","Occupational therapy assessments, Parent reports, Behavior tracking","Dr. Amy Rodriguez, OTR/L",(555) 123-4574,sensory@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,18000,High,Excellent
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Professional Development for Inclusive Arts,Professional Training,Training program for arts educators and therapists in inclusive practices and disability awareness,"Arts Educators, Therapists, Service Providers",Monthly workshops,5000,12,275,25,Expert practitioners in inclusive arts education,"Training materials, presentation equipment",Professional training facility,"Medium - professional development, field advancement","Professional services, Healthcare, Education companies","Professional development, Arts education, Disability advocacy",Adult professionals,"Professional accommodations, continuing education credits","Skills improvement, certification completion, practice implementation","Training evaluations, Certification rates, Follow-up surveys","Dr. Rebecca Wang, PhD",(555) 123-4575,training@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,5000,Standard,Moderate
Center for Students of ALL Arts (CSOAF),info@csoaf.org,To provide inclusive arts education and healing programs for individuals with disabilities and diverse needs,"New York, NY",https://www.csoaf.org,Digital Arts and Technology Access,Digital Arts,Technology-based arts program teaching digital creativity tools with adaptive technology for accessibility,"Children/Youth, Adults, People with Disabilities",Weekly,14000,42,200,12,Digital arts educator with accessibility expertise,"Adaptive computers, software, digital art tools",Computer lab with accessibility features,"Very High - technology focus, digital inclusion","Technology companies, Software companies, Financial services","Technology access, Digital inclusion, Arts education",Youth 10+ and Adults,"Adaptive technology, assistive software, multiple input methods","Digital literacy, creative skills, technology confidence","Portfolio creation, Technology skill assessments, Employment readiness","Alex Johnson, MFA",(555) 123-4576,digital@csoaf.org,CSOAF Internal Database,2025-10-26T20:17:03.432417,2025-10-26T20:17:03.432417,Active,14000,Medium,Excellent
